year,content
In progress,"**PhD, Sociology**"
,"ABD. Expected completion:  2019. Dissertation title, “Religious Geography and Structural Inequality in the United States.” Daniel V. A. Olson, Shawn Bauldry, Kevin Stainback, and Daniel Winchester, committee members."
,*Recipient: National Science Foundation Graduate Research Fellowship*
\,
2015,"**MS, Sociology** "
,"Purdue University, West Lafayette, Indiana"
,*Recipient: Frederick N. Andrews Fellowship*
\,
2013,"**BS, Sociology**, *summa cum laude*   "
,University of Texas at Tyler 
,Minor concentrations: Philosophy and Psychology
